acronym,definition
8835,"Form 8835: Renewable Electricity, Refined Coal, and Indian Coal Production Credit"
8838,Form 8838: Consent to Extend the Time to Assess Tax Under Section 367 - Gain Recognition Agreement
8838-P,Form 8838-P: Consent to Extend the Time to Assess Tax Pursuant to the Gain Deferral Method (Section 721(c))
8839,Form 8839: Qualified Adoption Expenses
8840,Form 8840: Closer Connection Exception Statement for Aliens
8842,Form 8842: Election to Use Different Annualization Periods for Corporation Estimated Tax
8843,Form 8843: Statement for Exempt Individuals and Individuals with a Medical Condition
8844,Form 8844: Empowerment Zone Employment Credit
8845,Form 8845: Indian Employment Credit
8846,Form 8846: Credit for Employer Social Security and Medicare Taxes Paid on Certain Employee Tips
8848,Form 8848: Consent to Extend the Time to Assess the Branch Profits Tax Under Regulations Sections 1.884-2T(a) and (c)
8849,Form 8849: Claim for Refund of Excise Taxes
8849 (Schedule 1),Form 8849 (Schedule 1): Nontaxable Use of Fuels
8849 (Schedule 2),Form 8849 (Schedule 2): Sales by Registered Ultimate Vendors
8849 (Schedule 3),Form 8849 (Schedule 3): Certain Fuel Mixtures and the Alternative Fuel Credit
8849 (Schedule 5),Form 8849 (Schedule 5): Section 4081(e) Claims
8849 (Schedule 6),Form 8849 (Schedule 6): Other Claims
8849 (Schedule 8),Form 8849 (Schedule 8): Registered Credit Card Issuers
8850,Form 8850: Pre-Screening Notice and Certification Request for the Work Opportunity Credit
8851,Form 8851: Summary of Archer MSAs
8853,Form 8853: Archer MSAs and Long-Term Care Insurance Contracts
8854,Form 8854: Initial and Annual Expatriation Statement
8855,Form 8855: Election to Treat a Qualified Revocable Trust as Part of an Estate
8857,Form 8857: Request for Innocent Spouse Relief
8858,Form 8858: Information Return of U.S. Persons With Respect to Foreign Disregarded Entities (FDEs) and Foreign Branches (FBs)
8858 (Schedule M),Form 8858 (Schedule M): Transactions Between Foreign Disregarded Entity (FDE) or Foreign Branch (FB) and the Filer or Other Related Entities
8859,Form 8859: Carryforward of the District of Columbia First-Time Homebuyer Credit
886-H-DEP,Form 886-H-DEP: Supporting Documents for Dependency Exemptions
886-H-EIC,Form 886-H-EIC: Documents You Need to Send to Claim the Earned Income Credit on the Basis of a Qualifying Child or Children
886-H-HOH,Form 886-H-HOH: Supporting Documents to Prove Head of Household Filing Status
8862,Form 8862: Information To Claim Earned Income Credit After Disallowance
8863,Form 8863: Education Credits (American Opportunity and Lifetime Learning Credits)
8864,Form 8864: Biodiesel and Renewable Diesel Fuels Credit
8865,Form 8865: Return of U.S. Persons With Respect to Certain Foreign Partnerships
8865 (Schedule G),Form 8865 (Schedule G): Statement of Application of the Gain Deferral Method Under Section 721(c)
8865 (Schedule H),Form 8865 (Schedule H): Acceleration Events and Exceptions Reporting Relating to Gain Deferral Method Under Section 721(c)
8865 (Schedule K-1),"Form 8865 (Schedule K-1): Partner's Share of Income, Deductions, Credits, etc."
8865 (Schedule O),Form 8865 (Schedule O): Transfer of Property to a Foreign Partnership (under section 6038B)
8865 (Schedule P),"Form 8865 (Schedule P): Acquisitions, Dispositions, and Changes of Interests in a Foreign Partnership (Under Section 6046A)"
8866,Form 8866: Interest Computation Under the Look-Back Method for Property Depreciated Under the Income Forecast Method
8867,Form 8867: Paid Preparer's Due Diligence Checklist
8868,Form 8868: Application for Automatic Extension of Time To File an Exempt Organization Return
8869,Form 8869: Qualified Subchapter S Subsidiary Election
8870,Form 8870: Information Return for Transfers Associated With Certain Personal Benefit Contracts
8872,Form 8872: Political Organization Report of Contributions and Expenditures
8873,Form 8873: Extraterritorial Income Exclusion
8874,Form 8874: New Markets Credit
8874-A,Form 8874-A: Notice of Qualified Equity Investment for New Markets Credit
8874-B,Form 8874-B: Notice of Recapture Event for New Markets Credit
8875,Form 8875: Taxable REIT Subsidiary Election
8876,Form 8876: Excise Tax on Structured Settlement Factoring Transactions
8878,Form 8878: IRS e-file Signature Authorization for Form 4868 or Form 2350
8878-A,Form 8878-A: IRS e-file Electronic Funds Withdrawal Authorization for Form 7004
8879,Form 8879: IRS e-file Signature Authorization
8879-C,Form 8879-C: IRS e-file Signature Authorization for Form 1120
8879-EMP,"Form 8879-EMP: IRS e-file Signature Authorization for Forms 940, 940 (PR), 941, 941 (PR), 941-SS, 943, 943 (PR), 944, and 945"
8879-EO,Form 8879-EO: IRS e-file Signature Authorization for an Exempt Organization
8879-EX,"Form 8879-EX: IRS e-file Signature Authorization for Forms 720, 2290, and 8849"
8879-F,Form 8879-F: IRS e-file Signature Authorization for Form 1041
8879-I,Form 8879-I: IRS e-file Signature Authorization for Form 1120-F
8879-PE,Form 8879-PE: IRS e-file Signature Authorization for Form 1065
8879-S,Form 8879-S: IRS e-file Signature Authorization for Form 1120-S
8880,Form 8880: Credit for Qualified Retirement Savings Contributions
8881,Form 8881: Credit for Small Employer Pension Plan Startup Costs
8882,Form 8882: Credit for Employer-Provided Child Care Facilities and Services
8883,Form 8883: Asset Allocation Statement Under Section 338
8885,Form 8885: Health Coverage Tax Credit
8886,Form 8886: Reportable Transaction Disclosure Statement
8886-T,Form 8886-T: Disclosure by Tax Exempt Entity Regarding Prohibited Tax Shelter Transaction
8888,Form 8888: Allocation of Refund (Including Savings Bond Purchases)
8889,Form 8889: Health Savings Accounts (HSAs)
8892,Form 8892: Application for Automatic Extension of Time To File Form 709 and/or Payment of Gift/Generation-Skipping Transfer Tax
8896,Form 8896: Low Sulfur Diesel Fuel Production Credit
8898,Form 8898: Statement for Individuals Who Begin or End Bona Fide Residence in a U.S. Possession
8899,Form 8899: Notification of Income from Donated Intellectual Property
8900,Form 8900: Qualified Railroad Track Maintenance Credit
8902,Form 8902: Alternative Tax on Qualifying Shipping Activities
8903,Form 8903: Domestic Production Activities Deduction
8904,Form 8904: Marginal Wells Oil and Gas Production Credit
8905,Form 8905: Certification of Intent to Adopt a Pre-Approved Plan
8906,Form 8906: Distilled Spirits Credit
8908,Form 8908: Energy Efficient Home Credit
8910,Form 8910: Alternative Motor Vehicle Credit
8911,Form 8911: Alternative Fuel Vehicle Refueling Property Credit
8912,Form 8912: Credit to Holders of Tax Credit Bonds
8915-A,Form 8915-A: Qualified 2016 Disaster Retirement Plan Distributions and Repayments
8915-B,Form 8915-B: Qualified 2017 Disaster Retirement Plan Distributions and Repayments
8915-C,Form 8915-C: Qualified 2018 Disaster Retirement Plan Distributions and Repayments
8915-D,Form 8915-D: Qualified 2019 Disaster Retirement Plan Distributions and Repayments
8915-E,Form 8915-E: Qualified 2020 Disaster Retirement Plan Distributions and Repayments
8916,Form 8916: Reconciliation of Schedule M-3 Taxable Income with Tax Return Taxable Income for Mixed Groups
8916-A,Form 8916-A: Supplemental Attachment to Schedule M-3
8917,Form 8917: Tuition and Fees Deduction
8918,Form 8918: Material Advisor Disclosure Statement
8919,Form 8919: Uncollected Social Security and Medicare Tax on Wages
892,Publ 892: How to Appeal an IRS Determination on Tax-Exempt Status
8922,Form 8922: Third-Party Sick Pay Recap
8923,Form 8923: Mine Rescue Team Training Credit
8924,Form 8924: Excise Tax on Certain Transfers of Qualifying Geothermal or Mineral Interests
8925,Form 8925: Report of Employer-Owned Life Insurance Contracts
8927,Form 8927: Determination Under Section 860(e)(4) by a Qualified Investment Entity
8928,Form 8928: Return of Certain Excise Taxes Under Chapter 43 of the Internal Revenue Code
8932,Form 8932: Credit for Employer Differential Wage Payments
8933,Form 8933: Carbon Oxide Sequestration Credit
8936,Form 8936: Qualified Plug-in Electric Drive Motor Vehicle Credit
8937,Form 8937: Report of Organizational Actions Affecting Basis of Securities
8938,Form 8938: Statement of Specified Foreign Financial Assets
8940,Form 8940: Request for Miscellaneous Determination
8941,Form 8941: Credit for Small Employer Health Insurance Premiums
8944,Form 8944: Preparer e-file Hardship Waiver Request
8945,Form 8945: PTIN Supplemental Application For U.S. Citizens Without a Social Security Number Due To Conscientious Religious Objection
8946,Form 8946: PTIN Supplemental Application For Foreign Persons Without a Social Security Number
8947,Form 8947: Report of Branded Prescription Drug Information
8948,Form 8948: Preparer Explanation for Not Filing Electronically
8949,Form 8949: Sales and other Dispositions of Capital Assets
8950,Form 8950: Application for Voluntary Correction Program (VCP)
8951,Form 8951: User Fee for Application for Voluntary Correction Program (VCP)
8952,Form 8952: Application for Voluntary Classification Settlement Program (VCSP)
8955-SSA,Form 8955-SSA: Annual Registration Statement Identifying Separated Participants With Deferred Vested Benefits
8957,Form 8957: Foreign Account Tax Compliance Act (FATCA) Registration
8958,Form 8958: Allocation of Tax Amounts Between Certain Individuals in Community Property States
8959,Form 8959: Additional Medicare Tax
8960,"Form 8960: Net Investment Income Tax Individuals, Estates, and Trusts"
8962,Form 8962: Premium Tax Credit (PTC)
8963,Form 8963: Report of Health Insurance Provider Information
8966,Form 8966: FATCA Report
8966-C,Form 8966-C: Cover Sheet for Form 8966 Paper Submissions
8971,Form 8971: Information Regarding Beneficiaries Acquiring Property from a Decedent
8973,Form 8973: Certified Professional Employer Organization Customer Reporting Agreement
8974,Form 8974: Qualified Small Business Payroll Tax Credit for Increasing Research Activities
8975,Form 8975: Country by Country Report
8975 (Schedule A),Form 8975 (Schedule A): Tax Jurisdiction and Constituent Entity Information
8978,Form 8978: Partner's Additional Reporting Year Tax
8978 (Schedule A),Form 8978 (Schedule A): Partner's Additional Reporting Year Tax (Schedule of Adjustments)
8979,Form 8979: Partnership Representative Revocation/Designation and Resignation Form
8980,Form 8980: Partnership Request for Modification of Imputed Underpayments Under IRC Section 6225(c)
8981,Form 8981: Waiver of the Period Under IRC Section 6231(b)(2)(A) and Expiration of the Period for Modification Submissions Under IRC Section 6225(c)(7)
8982,Form 8982: Affidavit for Partner Modification Amended Return Under IRC Section 6225(c)(2)(A) or Partner Alternative Procedure Under IRC Section 6225(c)(2)(B)
8983,Form 8983: Certification of Partner Tax-Exempt Status for Modification Under IRC Section 6225(c)(3)
8984,Form 8984: Extension of the Taxpayer Modification Submission Period Under Section 6225(c)(7)
8985,Form 8985: Pass-Through Statement - Transmittal/Partnership Adjustment Tracking Report (Required Under Sections 6226 and 6227)
8985-V,Form 8985-V: Tax Payment by a Pass-Through Partner
8986,Form 8986: Partner's Share of Adjustment(s) to Partnership-Related Item(s) (Required Under Sections 6226 and 6227)
8988,Form 8988: Election for Alternative to Payment of the Imputed Underpayment - IRC Section 6226
8989,Form 8989: Request to Revoke the Election for Alternative to Payment of the Imputed Underpayment
8990,Form 8990: Limitation on Business Interest Expense Under Section 163(j)
8991,Form 8991: Tax on Base Erosion Payments of Taxpayers With Substantial Gross Receipts
8992,Form 8992: U.S. Shareholder Calculation of Global Intangible Low-Taxed Income (GILTI)
8992 (Schedule B),Form 8992 (Schedule B): Calculation of Global Intangible Low-Taxed Income (GILTI) for Members of a U.S. Consolidated Group Who Are U.S. Shareholders of a CFC
8993,Form 8993: Section 250 Deduction for Foreign Derived Intangible Income (FDII) and Global Intangible Low-Taxed Income (GILTI)
8994,Form 8994: Employer Credit for Paid Family and Medical Leave
8995,Form 8995: Qualified Business Income Deduction Simplified Computation
8995-A,Form 8995-A: Qualified Business Income Deduction
8995-A (Schedule A),Form 8995-A (Schedule A): Specified Service Trades or Businesses
8995-A (Schedule B),Form 8995-A (Schedule B): Aggregation of Business Operations
8995-A (Schedule C),Form 8995-A (Schedule C): Loss Netting And Carryforward
8995-A (Schedule D),Form 8995-A (Schedule D): Special Rules for Patrons of Agricultural or Horticultural Cooperatives
8996,Form 8996: Qualified Opportunity Fund
8997,Form 8997: Initial and Annual Statement of Qualified Opportunity Fund (QOF) Investments
901,Publ 901: U.S. Tax Treaties
907,Form 907: Agreement to Extend the Time to Bring Suit
907,Publ 907: Tax Highlights for Persons With Disabilities
908,Publ 908: Bankruptcy Tax Guide
911,Form 911: Request for Taxpayer Advocate Service Assistance (And Application for Taxpayer Assistance Order)
915,Publ 915: Social Security and Equivalent Railroad Retirement Benefits
921,Form 921: Consent to Extend the Time to Assess Income Tax
921-A,Form 921-A: Consent Fixing Period of Limitation on Assessment of Income and Profits Tax
921-I,Form 921-I: Consent Fixing Period of Limitation on Assessment of Income and Profits Tax
921-P,Form 921-P: Consent Fixing Period of Limitation on Assessment of Income and Profits Tax
9210,Form 9210: Alien Status Questionnaire
925,Publ 925: Passive Activity and At-Risk Rules
926,Form 926: Return by a U.S. Transferor of Property to a Foreign Corporation
926,Publ 926: Household Employer's Tax Guide
928,Form 928: Taxable Fuel Bond
929,Publ 929: Tax Rules for Children and Dependents
931,Notc 931: Deposit Requirements for Employment Taxes
9325,Form 9325: Acknowledgement and General Information for Taxpayers Who File Returns Electronically
936,Publ 936: Home Mortgage Interest Deduction
938,Publ 938: Real Estate Mortgage Investment Conduits (REMICs) Reporting Information (And Other Collateralized Debt Obligations (CDOs))
939,Publ 939: General Rule for Pensions and Annuities
940,Form 940: Employer's Annual Federal Unemployment (FUTA) Tax Return
940 (Schedule A),Form 940 (Schedule A): Multi-State Employer and Credit Reduction Information
940 (Schedule R),Form 940 (Schedule R): Allocation Schedule for Aggregate Form 940 Filers
940-B,Form 940-B: Request for Verification of Credit Information Shown on Form 940
941,Form 941: Employer's Quarterly Federal Tax Return
941 (Schedule B),Form 941 (Schedule B): Report of Tax Liability for Semiweekly Schedule Depositors
941 (Schedule D),"Form 941 (Schedule D): Report of Discrepancies Caused by Acquisitions, Statutory Mergers, or Consolidations"
941 (Schedule R),Form 941 (Schedule R): Allocation Schedule for Aggregate Form 941 Filers
941-SS,"Form 941-SS: Employer's Quarterly Federal Tax Return - American Samoa, Guam, the Commonwealth of the Northern Mariana Islands, and the U.S. Virgin Islands"
941-X,Form 941-X: Adjusted Employer's Quarterly Federal Tax Return or Claim for Refund
9423,Form 9423: Collection Appeal Request
943,Form 943: Employer's Annual Federal Tax Return for Agricultural Employees
943 (Schedule R),Form 943 (Schedule R): Allocation Schedule for Aggregate Form 943 Filers
943-A,Form 943-A: Agricultural Employer's Record of Federal Tax Liability
943-X,Form 943-X: Adjusted Employer's Annual Federal Tax Return for Agricultural Employees or Claim for Refund
944,Form 944: Employer's Annual Federal Tax Return
944-X,Form 944-X: Adjusted Employer's Annual Federal Tax Return or Claim for Refund
945,Form 945: Annual Return of Withheld Federal Income Tax
945-A,Form 945-A: Annual Record of Federal Tax Liability
945-X,Form 945-X: Adjusted Annual Return of Withheld Federal Income Tax or Claim for Refund
946,Publ 946: How to Depreciate Property
9465,Form 9465: Installment Agreement Request
947,Publ 947: Practice Before the IRS and Power of Attorney
952,Form 952: Consent to Extend Period of Limitation on Assessment of Income Taxes
957,Publ 957: Reporting Back Pay and Special Wage Payments to the Social Security Administration
962,Publ 962: Life's a little easier with EITC
962 ,Publ 962 : Life's a little easier with EITC
963,Publ 963: Federal / State Reference Guide State / Local Government Employers
965,Form 965: Inclusion of Deferred Foreign Income Upon Transition to Participation Exemption System
965 (Schedule D),Form 965 (Schedule D): U.S. Shareholder's Aggregate Foreign Cash Position
965 (Schedule F),Form 965 (Schedule F): Foreign Taxes Deemed Paid by Domestic Corporation
965 (Schedule H),Form 965 (Schedule H): Amounts Reported on Forms 1116 and 1118 and Disallowed Foreign Taxes
965-A,Form 965-A: Individual Report of Net 965 Tax Liability
965-B,Form 965-B: Corporate and Real Estate Investment Trust (REIT) Report of Net 965 Tax Liability and Electing REIT Report of 965 Amounts
965-C,Form 965-C: Transfer Agreement Under Section 965(h)(3)
965-D,Form 965-D: Transfer Agreement Under Section 965(i)(2)
965-E,Form 965-E: Consent Agreement Under Section 965(i)(4)(D)
966,Form 966: Corporate Dissolution or Liquidation
966,Publ 966: Electronic Choices to Pay All Your Federal Taxes
9661,Form 9661: Cooperative Agreement
969,Publ 969: Health Savings Accounts and Other Tax-Favored Health Plans
970,Form 970: Application to Use Lifo Inventory Method
970,Publ 970: Tax Benefits for Education
971,Publ 971: Innocent Spouse Relief
972,Form 972: Consent of Shareholder to Include Specific Amount in Gross Income
972,Publ 972: Child Tax Credit
973,Form 973: Corporation Claim for Deduction for Consent Dividends
974,Publ 974: Premium Tax Credit (PTC)
976,"Form 976: Claim for Deficiency Dividends Deductions by a Personal Holding Company, Regulated Investment Company, or Real Estate Investment Trust"
976,Publ 976: Disaster Relief
9779,Form 9779: EFTPS Business Enrollment Form
9783,Form 9783: EFTPS Individual Enrollment Form
982,Form 982: Reduction of Tax Attributes Due to Discharge of Indebtedness (and Section 1082 Basis Adjustment)
989,"Notc 989: Commonly Asked Questions When IRS Determines Your Work Status is ""Employee"""
990,Form 990: Return of Organization Exempt From Income Tax
990 (Schedule D),Form 990 (Schedule D): Supplemental Financial Statements
990 (Schedule F),Form 990 (Schedule F): Statement of Activities Outside the United States
990 (Schedule H),Form 990 (Schedule H): Hospitals
990 (Schedule I),"Form 990 (Schedule I): Grants and Other Assistance to Organizations, Governments, and Individuals in the United States"
990 (Schedule J),Form 990 (Schedule J): Compensation Information
990 (Schedule K),Form 990 (Schedule K): Supplemental Information on Tax-Exempt Bonds
990 (Schedule M),Form 990 (Schedule M): Noncash Contributions
990 (Schedule O),Form 990 (Schedule O): Supplemental Information to Form 990 or 990-EZ
990 (Schedule R),Form 990 (Schedule R): Related Organizations and Unrelated Partnerships
990-BL,Form 990-BL: Information and Initial Excise Tax Return for Black Lung Benefit Trusts and Certain Related Persons
990-EZ,Form 990-EZ: Short Form Return of Organization Exempt from Income Tax
990-PF,Form 990-PF: Return of Private Foundation or Section 4947(a)(1) Trust Treated as Private Foundation
990-T,Form 990-T: Exempt Organization Business Income Tax Return (and proxy tax under section 6033(e))
990-T (Schedule A),Form 990-T (Schedule A): Unrelated Business Taxable Income From an Unrelated Trade or Business
990-W,Form 990-W: Estimated Tax on Unrelated Business Taxable Income for Tax-Exempt Organizations
A/R,Accounts Receivable
AAC,Automated Accounting System also AIMS Assignee Code
AAV,Accountability Acceptance Voucher
ABC,Alpha Block Control
ABIS,Audit Base Inventory System
ABS,Abstract (Number)
ACA,Affordable Care Act
ACD,Automated Call Distribution/Distributor (CADE)
ACH,Automated Clearing House
ACI,Assistant Commissioner International
ACIS,AIMS Computer Information System
ACL,Access Control List (CADE)
ACS,Automated Collection System
ACTC,Additional Child Tax Credit
ACTC,Advance Child Tax Credit
ACTRFR,GMF Account Transfers-In (BMF/IMF)
ADCS,Automated Document Control System
ADDAPT,Alternative DIF Delivery and Planning Tool
ADH,Automated Document Handling
ADJ,Adjustment
ADP,Automatic Data Processing
ADR,Advance Dated Remittances
ADSI,Action Delete Status Indicator
AEIC,Advanced Earned Income Credit
AES,Automated Examination System
AFDC,Aid to Families with Dependent Children
AGI,Adjusted Gross Income
AICS,Automated Inventory Control System
AIIS,Automated Issues Identification System
AIMF,Audit Information Management File
AIMS,Audit Information Management System
AIS,Automated Insolvency System
AM,Accounts Maintenance
AMA,Accounts Maintenance Automation
AMIR,Audit Management Information Reports
AMIS,Adjustment Management Information System
AML,Anti-Money Laundering (Act)
AMRH,Accounts Maintenance Research
AMS,Audit Management System
AMTAP,Accounts Management Taxpayer Assurance Program
ANMF,Automated Non-Master File
AO,Area Office
AOIC,Automated Offers in Compromise
AP,Adjustment Pending
APL,Authorized Preparer List
APM,Assisted Preparation Method
ARDI,Accounts Receivable Dollar Inventory
ARL,Adjustment Record List
ARP,American Rescue Plan
ARRA,American Recovery and Reinvestment Act (of 2009)
ASED,Assessment Statute Expiration Date
ASFR,Automated Substitute for Return
ATAF,ACS Taxpayer Account File
ATAO,Application for Tax Assistance Order
ATIN,Adoption Taxpayer Identification Number
ATS,Abusive Tax Shelter
ATSDT,Abusive Tax Shelter Detection Team
AUR,Automated Underreporter Project
AUS,Automated Underreporter System
AWMS,Automated Workload Management System
B&F,Business & Farm
BCC,Business Operating Division Client Code
BCS,Block Count Sheet
BEITC,Business Energy Investment Tax Credit
BFS,Bureau of the Fiscal Service
BHR,Block Header Record
BLLC,Bankruptcy Litigation Location Code
BMF,Business Master File
BOB,Block Out of Balance
BOD,Business Operating Division
BPI,TOP Offset Bypass Indicator
BPL,Block Proof List
BPR,Block Proof Record
BPRL,Block Proof Record Listing
BRTF,Business Return Transaction File
BRTFOL,Business Return Transaction File On-Line
BRTVU,Business Return Transaction Files On-Line BS Blocking Series
BSA,Bank Secrecy Act
BTIF,Business Taxpayer Information File
BWH,Backup Withholding
C&L,Communications and Liason (IRS division)
CADE,Customer Account Data Engine
CAF,Centralized Authorization File
CAP,CAWR Automated Program Tier II System
CAP,Corrective Action Plan
CAPR,Computer Assisted Pipeline Review
CAPS,Corporate Accounts Processing System
CAR,Collection Activity Reports
CARES,"Coronavirus Aid, Relief, and Economic Security Act"
CATS,Computer Assisted Training System
CAWR,Combined Annual Wage Reporting
CBAF,Commercial Bank Address File
CBRS,Currency and Banking Retrieval System
CC,Closing Code
CC,Command Code
CCA,Case Control Activity
CCA,Case Control Assignment
CCC,Computer Condition Code
CCU,Cycle Control Unit
CD,Certificate of Deposit
CDR,Control Data Recap
CDW,Compliance Data Warehouse
CEMIS,Coordinated Examination Management Information System for Large Cases
CERS,Collection/Exam Referral System
CES,Correspondence Expert System
CFOL,Corporate Files on Line
CFf,Collection Function-field
CIS,Correspondence Imaging System
CLC,Collection Location Code
CNC,Currently Not Collectable
COA,Change of Address
COAD,Coin Operated Amusement Device
COBRA,Consolidated Omnibus Reconciliation Act
COMPS,Composite Mail Processing System
COVIDTRA,COVID-Related Tax Relief Act
CP,Computer Paragraph
CP2000,Computer Paragraph 2000 or 'Notice of Proposed Adjustment for Underpayment/Overpayment CP 2000'
CPL,Cycle Proof Listing
CPS,Current Population Survey
CPU,Central Processing Unit
CRIS,Compliance Research Information System
CRL,Control Record Listing
CRS,Communication Replacement System
CSC,Cincinnati Campus
CSED,Collection Statute Expiration Date
CSP,Centralized Scheduling Program
CSR,Customer Service Representative
CSS,Clerical Screening Subsystem
CT-1,Form CT-1: Employer's Annual Railroad Retirement Tax Return
CT-1X,Form CT-1X: Adjusted Employer's Annual Railroad Retirement Tax Return or Claim for Refund
CT-2,Form CT-2: Employee Representative's Quarterly Railroad Tax Return
CTC,Child Tax Credit
CUM,Cumulative
CUP,Corrected Unpostable
CVPN,Civil Penalty
CWA,Central Withholding Agreement
CWHS,Continuous Work History Sample
CY,Calendar Year
CYC,Cycle
CZ,Combat Zone
DAIP,Delinquent Account Inventory Profile
DAR,Delinquent Accounts and Returns
DATC,Deferred Adverse Tax Consequence
DBA,Database Administrator
DBPS,Daily Block Proof Summary
DC,Disposal Code
DC,Document Code
DCC,Detroit Computing Center
DCF,Dishonored Check File
DCN,Document Control Number
DCPS,Data Communication Processing System
DDB,Dependent Database
DI,Desktop Integration
DIAL,Delinquent Investigation/Account Listing
DIF,Discriminate Index Function
DIN,Document Identification Number
DIRF,Delinquency Investigation Research File
DIS,Distribution Input System
DLN,Document Locator Number
DM-1,Data Master 1 (SSA Tape)
DMF,Debtor Master File
DMFOL,Debtor Master File On Line
DMS,Database Management System
DO,District Office
DOAO,District and Area Office Location
DOC,Document
DOD,Date of Death
DP,Data Processing
DPC,Designated Payment Code
DPR,Daily Production Report
DRU,Document Retention Unit
DTR,Daily Transaction Register
DY,Last Year Delinquent Return Secured
EAC,ERS Action Codes
EACS,EP/EO Application Control System (IDRS)
EAM,Electronic Accounting Machine
EAN,Entity Account Number
EAX,System ID or Run Number for EACS
EC,Employment Code
ED,Establishment Date
EDP,Electronic Data Processing
EDS,EP/EO Determination System
EEIF,Enhanced Entity Index File
EESA,Emergency Economic Stabilization Act (of 2009)
EFAST,ERISA Filing Acceptance System
EFDS,Electronic Fraud Detection System
EFT,Electronic Funds Transfer
EFTPS,Electronic Federal Tax Payment System
EIC,Earned Income Credit (see EITC)
EIF,Entity Index File
EIN,Employer Identification Number
EIP,Economic Impact Payment
EITC,Earned Income Tax Credit
EKIF,EIN Key Index File
ELF,Electronic Filing System
EMFOL,Employee Plans Master File On Line
ENC,Extension Notice Code
EO,Exempt Organization
EOD,End-of-Day
EOM,End of Month
EOMF,Exempt Organizations Master File
EOS,End-of-Shift
EOps,Enterprise Operations
EP,Employee Plans
EPC,Exemption Processing Code
EPMF,Employee Plans Master File
ERA,EIN Research and Assignment
ERAS,EIN Research and Assignment System (IDRS)
ERCS,Examination Returns Control System
ERDF,Edited Research Data File
ERDS,Edited Research Display File (ACTRA only)
ERF,Employer Return File
ERIS,Employment Retirement Income Security
ERIS,Enforcement Revenue Information System
ERS,Error Resolution System
ES,Estimated Tax
ESA,Economic Stimulus Act (of 2008)
ESOP,Employee Stock Ownership Plan
ESP,Economic Security Project
ETAP,Employment Tax Adjustment Program
ETE,Employment Tax Examination
FAISR,Files Archival Image Storage and Retrieval System
FARC,Federal Archives Record Center
FE,Field Examination
FEIN,Federal Employer Identification Number
FF,Free File
FHWA,Federal Highway Administration
FICA,Federal Insurance Contribution Act
FIN,Fiduciary Identification Number
FINDE/FINDS,Command Codes
FIRPTA,Foreign Investment Real Property Tax Act
FLC,File Location Code
FM,Fiscal Month
FMS,Financial Management Service
FOD,Foreign Operations District
FOF,Fact of Filing
FOI,Freedom of Information
FOIA,Freedom of Information Act
FP,Full Paid
FPAA,Final Partnership Administrative Adjustment
FPLP,Federal Payment Levy Program
FR(C),Filing Requirement (Code)
FRB,Federal Reserve Bank
FRC,Federal Records Center
FSAA,Final S-Corporation Administrative Adjustment
FSC,Filing Status (Code) (Form 1040 Series)
FSP,Functional Specification Package
FTD,Federal Tax Deposit
FTF,Failure to File
FTI,Federal Tax Information
FTL,Federal Tax Lien
FTP,Failure to Pay
FTS 2000,Federal Telecommunications System 2000
FUTA,Federal Unemployment Tax Act
FY,Fiscal Year
FYE,Fiscal Year Ending
FYM,Fiscal Year Month
GAME,State Lottery and Gambling Casino Winners
GEN,Group Exemption Number
GERL,Good/Error/Reject Block Proof Record List
GLF,General Ledger File
GMF,Generalized Mainline Framework
GMP,Get My Payment (Tool)
GOALS,Government On-Line Accounting Link System
GPP,General Purpose Program
GUF,Generalized Unpostable Framework
HC,Hold Code
HSTG,Hostage
HTF,Highway Trust Fund
HUR,High Underreporter
ICP,Integrated Case Processing
ICS,Integrated Collection System
ICS,Inventory Control System
ID,Identification
IDRS,Integrated Data Retrieval System
IDS,Inventory Delivery System
IE,Itemized Deductions
IGP,Information Gathering Project
IMF,Individual Master File
IMPIS,Integrated Management Planning Information System
IMS,Integrated Management System
IP,Interactive Applications
IPA,Interagency Personnel Agreement
IPR,Individual Performance Report
IRA,Individual Retirement Account
IRAF,Individual Retirement Account File - No longer used
IRC,Internal Revenue Code
IRM,Internal Revenue Manual
IRMF,Information Returns Master File
IRP,Information Return Program
IRS,Internal Revenue Service
IRSS,Information Return Master File Transcript
IRTF,Individual Return Transaction File
ISRP,Integrated Submission and Remittance Processing
ITIF,Individual Taxpayer Information File
ITIN,Individual Taxpayer Identification Number
IVL,Individual Validation Listing
JCT,Joint Committee on Taxation
JOC,Joint Operation Command - Atlanta
KDO,Key
KIF,Key Index File - No longer Used
KITA,Killed in Terrorist Action
KV,Key Verify
KYC,Know Your Customer (Identity Verification)
LADAR,Large Dollar Accounts Receivable
LEM,Law Enforcement Manual
LITC,Low Income Taxpayer Clinics
LMSB,Large & Mid-Size Business
LOAF,Level One Archive File ACS
LPS,Last Period Satisfied
LRA,Last Return Amount
MACS,Midwest Automated Compliance System
MAGI,Modified Adjusted Gross Income
MAR,Mid-Atlantic Region
MCC,Major City Code
MCC,Martinsburg Computing Center
MCR,Master Control Record
MDF,Master Directory File
ME,Math Error
MED,Medicare
MER,Management Error Report
MF,Master File
MFA,Married Filing Alien
MFR,Mail File Requirement (Code)
MFT,Master File Transaction
MIR,Management Information Report
MIS,Management Information System
MOP,Military Operations
MPS,Master File Pipeline System
MRS,Microfilm Replacement System
MeF,Modernized e File
NAI,National Accounts Index
NAICS,North American Industry Classification System
NAMEB/NAMI,Command Code
